대여소번호,대여소명,자치구,경도,위도
3779, 유광사여성병원,강서구,126.83863068,37.54323959
3780, 등촌서광아파트,강서구,126.85625458,37.55755234
3781, 강서아동복지센터,강서구,126.81092072,37.58458328
3782, 겸재정선미술관,강서구,126.83777618,37.57128906
3783, 마곡금호어울림아파트,강서구,126.83711243,37.57410049
3784, 벽산아파트,강서구,126.83666992,37.57531738
3785, 마곡14단지 1408동앞,강서구,126.82332611,37.55737305
3786, 강서힐스테이트 상가 앞,강서구,126.83657837,37.54663849
3788, 정곡나들목,강서구,126.81932831,37.5841713
3789, 염창나들목,강서구,126.87155914,37.55680466
3792, 화곡본동시장 입구,강서구,126.84368896,37.54382706
3793, 더리브골드타워,강서구,126.84624481,37.56557083
3794, 안양천합수부(현대3차아파트),강서구,126.87670898,37.55195236
3796, 송정역 3번출구 앞,강서구,126.81354523,37.56087875
3797, 마곡수명산파크7단지 710동 앞,강서구,126.82076263,37.54857254
3798, 그랜드아이파크아파트 앞,강서구,126.85154724,37.55510712
3799, 국립항공박물관,강서구,126.80926514,37.55688477
3801, 이랜드글로벌R&D센터,강서구,126.83475494,37.56719208
3802, 관악구민체육센터,관악구,126.96003723,37.47288132
3803, 남서울중학교,관악구,126.9213562,37.48313141
3804, 낙성대공원,관악구,126.95871735,37.47185516
3806, 낙성대 교수아파트,관악구,126.95765686,37.46895981
3807, 관악우체국 교차로,관악구,126.93437195,37.48497391
3811,신사로입구,관악구,126.92272186,37.48675156
3812, KT관악지점,관악구,126.94718933,37.48163223
3813, 낙성대역 5번출구,관악구,126.96276855,37.47752762
3814, 난곡사거리,관악구,126.91524506,37.48204803
3815, 광일빌딩,관악구,126.97683716,37.47639847
3816, 관악 GSfresh,관악구,126.94941711,37.47909164
3818, 은천교회 앞,관악구,126.92138672,37.48857117
3819, 서울대벤처타운역,관악구,126.93390656,37.4722023
3820, 은천삼거리,관악구,126.95545959,37.48506546
3853, 어린이대공원역 2번출구,광진구,127.07470703,37.54764938
3860, 건국대학교 정문 앞,광진구,127.07571411,37.5465126
3863, 동일로58길 입구,광진구,127.07297516,37.55775452
3864, 광진소방서 앞,광진구,127.08337402,37.5450058
3865, 이튼타워리버 2차,광진구,127.06900024,37.53520966
3868, 자양한강도서관,광진구,127.07798767,37.52916336
3873, 동서울우편집중국 앞,광진구,127.08447266,37.53470993
3878, 장로회신학대학교 주기철 기념관,광진구,127.10302734,37.54983902
3879, 중랑천 뚝방길 산책로 입구,광진구,127.0774765,37.56628036
3880, 홍련봉 공원,광진구,127.09352875,37.54896927
3881, 신자초교입구 교차로,광진구,127.07579041,37.53298569
3882, 자양2동 주민센터,광진구,127.08463287,37.52879333
3886,광진구 민방위교육센터,광진구,127.09801483,37.5391922
3890,웰츠타워 오피스텔,광진구,127.08355713,37.53803253
3894,노룬산시장앞,광진구,127.06273651,37.5369606
3899,아차산역 2번출구,광진구,127.09043884,37.55105209
